Time(s),CH1V,CH2V,CH3V
-4.960000e-04,6.573334e-02,3.763067e+00,-1.093333e-02
-4.940000e-04,9.146667e-02,3.528267e+00,-1.093333e-02
-4.920000e-04,1.196000e-01,3.249200e+00,-1.560000e-02
-4.900000e-04,1.102667e-01,2.977200e+00,-1.093333e-02
-4.880000e-04,1.218667e-01,2.693600e+00,-2.253333e-02
-4.860000e-04,9.146667e-02,2.442400e+00,-8.666667e-03
-4.840000e-04,8.213334e-02,2.216933e+00,-2.946667e-02
-4.820000e-04,6.346667e-02,2.010000e+00,-1.320000e-02
-4.800000e-04,6.106667e-02,1.833333e+00,-2.013333e-02
-4.780000e-04,4.240000e-02,1.672933e+00,-2.013333e-02
-4.760000e-04,3.773334e-02,1.540400e+00,-2.480000e-02
-4.740000e-04,3.066667e-02,1.449733e+00,-1.560000e-02
-4.720000e-04,1.666667e-02,1.352000e+00,-2.253333e-02
-4.700000e-04,1.893333e-02,1.270667e+00,-1.320000e-02
-4.680000e-04,1.893333e-02,1.217200e+00,-1.320000e-02
-4.660000e-04,2.666667e-03,1.180000e+00,-3.413333e-02
-4.640000e-04,2.666667e-03,1.117200e+00,-2.480000e-02
-4.620000e-04,-6.800000e-03,1.084667e+00,-2.013333e-02
-4.600000e-04,-1.840000e-02,1.049733e+00,-2.253333e-02
-4.580000e-04,-1.613333e-02,1.042800e+00,-1.093333e-02
-4.560000e-04,-1.373333e-02,1.019600e+00,-1.786667e-02
-4.540000e-04,-3.013333e-02,1.010267e+00,-1.560000e-02
-4.520000e-04,2.666667e-04,9.940000e-01,-1.320000e-02
-4.500000e-04,-2.306667e-02,9.986667e-01,-1.786667e-02
-4.480000e-04,-2.080000e-02,9.753333e-01,-1.093333e-02
-4.460000e-04,-2.080000e-02,9.708000e-01,-2.013333e-02
-4.440000e-04,-1.840000e-02,9.730667e-01,-2.253333e-02
-4.420000e-04,-3.253333e-02,9.684000e-01,-2.013333e-02
-4.400000e-04,-1.613333e-02,9.590667e-01,-1.786667e-02
-4.380000e-04,-2.306667e-02,9.684000e-01,-8.666667e-03
-4.360000e-04,-2.306667e-02,9.637333e-01,-1.560000e-02
-4.340000e-04,-3.480000e-02,9.568000e-01,-1.560000e-02
-4.320000e-04,-3.253333e-02,9.568000e-01,-6.266667e-03
-4.300000e-04,-2.306667e-02,9.637333e-01,2.933333e-03
-4.280000e-04,-2.306667e-02,9.498667e-01,-1.786667e-02
-4.260000e-04,-3.480000e-02,9.661334e-01,-1.786667e-02
-4.240000e-04,-2.546667e-02,9.544000e-01,-1.786667e-02
-4.220000e-04,-1.840000e-02,9.568000e-01,-2.253333e-02
-4.200000e-04,-2.546667e-02,9.474667e-01,-1.786667e-02
-4.180000e-04,-3.720000e-02,9.498667e-01,-1.560000e-02
-4.160000e-04,-2.546667e-02,9.336000e-01,-2.253333e-02
-4.140000e-04,-3.253333e-02,9.521334e-01,-1.093333e-02
-4.120000e-04,-1.613333e-02,9.428000e-01,-1.786667e-02
-4.100000e-04,-3.480000e-02,9.452000e-01,-1.093333e-02
-4.080000e-04,-3.013333e-02,9.381334e-01,-2.480000e-02
-4.060000e-04,-4.413334e-02,9.498667e-01,-2.013333e-02
-4.040000e-04,-2.786667e-02,9.521334e-01,-2.013333e-02
-4.020000e-04,-2.786667e-02,9.452000e-01,-1.093333e-02
-4.000000e-04,-3.013333e-02,9.428000e-01,-1.786667e-02
-3.980000e-04,-3.013333e-02,9.452000e-01,-1.320000e-02
-3.960000e-04,-2.546667e-02,9.498667e-01,-2.013333e-02
-3.940000e-04,-2.786667e-02,9.405333e-01,-2.706667e-02
-3.920000e-04,-3.013333e-02,9.474667e-01,-1.786667e-02
-3.900000e-04,-4.413334e-02,9.428000e-01,-2.253333e-02
-3.880000e-04,-1.840000e-02,9.358667e-01,-1.560000e-02
-3.860000e-04,-2.546667e-02,9.405333e-01,-1.093333e-02
-3.840000e-04,-3.013333e-02,9.474667e-01,-1.786667e-02
-3.820000e-04,-2.306667e-02,9.568000e-01,-2.013333e-02
-3.800000e-04,-3.013333e-02,9.381334e-01,-1.320000e-02
-3.780000e-04,-3.253333e-02,9.498667e-01,-1.560000e-02
-3.760000e-04,-2.546667e-02,9.452000e-01,-2.253333e-02
-3.740000e-04,-2.786667e-02,9.521334e-01,-2.013333e-02
-3.720000e-04,-1.373333e-02,9.452000e-01,-2.706667e-02
-3.700000e-04,-3.013333e-02,9.474667e-01,-1.093333e-02
-3.680000e-04,-3.013333e-02,9.474667e-01,-4.000000e-03
-3.660000e-04,-3.480000e-02,9.498667e-01,-1.600000e-03
-3.640000e-04,-3.253333e-02,9.544000e-01,-2.706667e-02
-3.620000e-04,-4.186667e-02,9.521334e-01,-1.093333e-02
-3.600000e-04,-3.253333e-02,9.405333e-01,-1.320000e-02
-3.580000e-04,-3.946667e-02,9.521334e-01,-1.560000e-02
-3.560000e-04,-1.840000e-02,9.452000e-01,-8.666667e-03
-3.540000e-04,-4.186667e-02,9.568000e-01,-8.666667e-03
-3.520000e-04,-3.013333e-02,9.405333e-01,-1.560000e-02
-3.500000e-04,-3.480000e-02,9.498667e-01,-8.666667e-03
-3.480000e-04,-2.546667e-02,9.358667e-01,-1.320000e-02
-3.460000e-04,-3.013333e-02,9.452000e-01,-1.093333e-02
-3.440000e-04,-3.253333e-02,9.428000e-01,-2.253333e-02
-3.420000e-04,-3.480000e-02,9.452000e-01,-1.560000e-02
-3.400000e-04,-3.013333e-02,9.428000e-01,-1.786667e-02
-3.380000e-04,-4.653334e-02,9.568000e-01,-2.013333e-02
-3.360000e-04,-2.546667e-02,9.498667e-01,-2.253333e-02
-3.340000e-04,-2.786667e-02,9.521334e-01,-1.560000e-02
-3.320000e-04,-2.786667e-02,9.405333e-01,-1.560000e-02
-3.300000e-04,-2.786667e-02,9.452000e-01,-1.560000e-02
-3.280000e-04,-1.373333e-02,9.474667e-01,-1.786667e-02
-3.260000e-04,-2.306667e-02,9.614667e-01,-1.320000e-02
-3.240000e-04,-2.546667e-02,9.544000e-01,-1.560000e-02
-3.220000e-04,-3.253333e-02,9.498667e-01,-1.786667e-02
-3.200000e-04,-2.080000e-02,9.544000e-01,-1.093333e-02
-3.180000e-04,-4.186667e-02,9.614667e-01,-2.253333e-02
-3.160000e-04,-2.786667e-02,9.452000e-01,-1.320000e-02
